,match_name,player_name,score
10,Atu Bosenavulagi,Atu Bosenvulagi,97
18,Lachlan Schultz,Lachlan Schulz,97
23,Josh Schoenfeld,Joshua Schoenfeld,94
29,Jay Kennedy Harris,Jay Kennedy-Harris,94
2,Tom J. Lynch,Tom T. Lynch,92
5,Joshua Deluca,Josh Deluca,92
22,Joshua Corbett,Josh Corbett,92
32,Josh Wagner,Joshua Wagner,92
33,Red Og Murphy,Red Ã“g Murphy,92
52,Bailey Williams,Bailey J. Williams,91
4,Thomas Fullarton,Tom Fullarton,90
7,Kym Lebois,Kym LeBois,90
15,William Snelling,Will Snelling,90
16,Mitchell Crowden,Mitch Crowden,90
19,Sam Switkowski,Samuel Switkowski,90
34,Tom Wilkinson,Thomas Wilkinson,90
49,Matthew Suckling,Matt Suckling,90
0,Cameron Ellis-Yolmen,Cam Ellis-Yolmen,89
11,Callum L. Brown,Callum Brown,89
53,Matt Buntine,Matthew Buntine,89
54,Matt de Boer,Matthew de Boer,89
1,William Hamill,Will Hamill,88
13,Mitch Brown,Mitch W. Brown,88
21,Sam Collins,Samuel Collins,88
31,Aaron vandenBerg,Aaron Vandenberg,88
12,Sam Murray,Samuel Murray,87
37,Cam Sutcliffe,Cameron Sutcliffe,87
38,Dan Butler,Daniel Butler,87
3,Thomas Berry,Tom Berry,86
17,Cam McCarthy,Cameron McCarthy,86
46,Samuel Wicks,Sam Wicks,86
56,Harry Himmelberg,Harrison Himmelberg,86
25,Gary Ablett,Gary Ablett jnr,85
51,Thomas Cole,Tom Cole,84
9,Lachie Plowman,Lachlan Plowman,83
26,Lachie Fogarty,Lachlan Fogarty,83
43,Robert Young,Robbie Young,83
57,Tommy Sheridan,Thomas Sheridan,83
14,Thomas Jok,Tom Jok,82
30,Timothy Smith,Tim Smith,82
20,Christopher Burgess,Chris Burgess,81
24,Lachie Weller,Lachlan Weller,81
6,Pat Kerr,Patrick Kerr,80
27,Harrison Jones,Harry Jones,80
41,Nick Coffield,Nicholas Coffield,80
50,Lachlan Young,Lachie Young,80
55,Zac Langdon,Zac Giles-Langdon,79
58,Nick Shipley,Nicholas Shipley,79
8,,Jarrod Pickett,77
28,,Will Langford,77
39,Shaun Higgins,Shaun Grigg,75
40,Devon Smith,Derek Smith,73
42,Sebastian Ross,Seb Ross,73
47,,Tom Boyd,71
48,,Liam Picken,70
36,,Patrick Ryder,69
44,,Heath Grundy,67
35,,Sam Wright,64
45,,Kurt Tippett,-1
